Berlin_code_area;Administrative_district;District;Quarter;Street_name
1100101;Mitte;Zentrum;Tiergarten Süd;Stülerstraße
1100102;Mitte;Zentrum;Tiergarten Süd;Großer Tiergarten
1100103;Mitte;Zentrum;Tiergarten Süd;Lützowstraße
1100104;Mitte;Zentrum;Tiergarten Süd;Körnerstraße
1100205;Mitte;Zentrum;Regierungsviertel;Wilhelmstraße
1100206;Mitte;Zentrum;Regierungsviertel;Unter den Linden
1100207;Mitte;Zentrum;Regierungsviertel;Leipziger Straße
1100308;Mitte;Zentrum;Alexanderplatz;Charitéviertel
1100309;Mitte;Zentrum;Alexanderplatz;Oranienburger Straße
1100310;Mitte;Zentrum;Alexanderplatz;Alexanderplatzviertel
1100311;Mitte;Zentrum;Alexanderplatz;Karl-Marx-Allee
1100312;Mitte;Zentrum;Alexanderplatz;Heine-Viertel West
1100313;Mitte;Zentrum;Alexanderplatz;Heine-Viertel Ost
1100414;Mitte;Zentrum;Brunnenstraße Süd;Nordbahnhof
1100415;Mitte;Zentrum;Brunnenstraße Süd;Invalidenstraße
1100416;Mitte;Zentrum;Brunnenstraße Süd;Arkonaplatz
1200517;Mitte;Moabit;Moabit West;Huttenkiez
1200518;Mitte;Moabit;Moabit West;Beusselkiez
1200519;Mitte;Moabit;Moabit West;Emdener Straße
1200520;Mitte;Moabit;Moabit West;Bremer Straße
1200521;Mitte;Moabit;Moabit West;Zwinglistraße
1200522;Mitte;Moabit;Moabit West;Elberfelder Straße
1200623;Mitte;Moabit;Moabit Ost;Stephankiez
1200624;Mitte;Moabit;Moabit Ost;Heidestraße
1200625;Mitte;Moabit;Moabit Ost;Lübecker Straße
1200626;Mitte;Moabit;Moabit Ost;Thomasiusstraße
1200627;Mitte;Moabit;Moabit Ost;Zillesiedlung
1200628;Mitte;Moabit;Moabit Ost;Lüneburger Straße
1200629;Mitte;Moabit;Moabit Ost;Hansaviertel
1300730;Mitte;Gesundbrunnen;Osloer Straße;Drontheimer Straße
1300731;Mitte;Gesundbrunnen;Osloer Straße;Koloniestraße
1300732;Mitte;Gesundbrunnen;Osloer Straße;Soldiner Straße
1300733;Mitte;Gesundbrunnen;Osloer Straße;Gesundbrunnen
1300834;Mitte;Gesundbrunnen;Brunnenstraße Nord;Brunnenstraße
1300835;Mitte;Gesundbrunnen;Brunnenstraße Nord;Humboldthain Süd
1300836;Mitte;Gesundbrunnen;Brunnenstraße Nord;Humboldthain Nordwest
1400937;Mitte;Wedding;Parkviertel;Afrikanische Straße
1400938;Mitte;Wedding;Parkviertel;Kameruner Straße
1400939;Mitte;Wedding;Parkviertel;Glasgower Straße
1400940;Mitte;Wedding;Parkviertel;Schillerpark
1400941;Mitte;Wedding;Parkviertel;Londoner Straße
1400942;Mitte;Wedding;Parkviertel;Westliche Müllerstraße
1401043;Mitte;Wedding;Wedding Zentrum;Antonstraße
1401044;Mitte;Wedding;Wedding Zentrum;Uferstraße
1401045;Mitte;Wedding;Wedding Zentrum;Schwedenstraße
1401046;Mitte;Wedding;Wedding Zentrum;Nordufer
1401047;Mitte;Wedding;Wedding Zentrum;Sparrplatz
1401048;Mitte;Wedding;Wedding Zentrum;Leopoldplatz
1401049;Mitte;Wedding;Wedding Zentrum;Schulstraße
2100101;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Askanischer Platz
2100102;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Mehringplatz
2100103;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Am Berlin Museum
2100104;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Moritzplatz
2100105;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Prinzenstraße
2100106;Friedrichshain-Kreuzberg;Kreuzberg Nord;Südliche Friedrichstadt;Wassertorplatz
2200207;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Gleisdreieck
2200208;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Rathaus Yorckstraße
2200209;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Viktoriapark
2200210;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Urbanstraße
2200211;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Chamissokiez
2200212;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Graefekiez Süd
2200213;Friedrichshain-Kreuzberg;Kreuzberg Süd;Tempelhofer Vorstadt;Graefekiez Nord
2300314;Friedrichshain-Kreuzberg;Kreuzberg Ost;Nördliche Luisenstadt;Oranienplatz
2300315;Friedrichshain-Kreuzberg;Kreuzberg Ost;Nördliche Luisenstadt;Lausitzer Platz
2300316;Friedrichshain-Kreuzberg;Kreuzberg Ost;Nördliche Luisenstadt;Köpenicker Straße 
2300417;Friedrichshain-Kreuzberg;Kreuzberg Ost;Südliche Luisenstadt;Reichenberger Straße West
2300418;Friedrichshain-Kreuzberg;Kreuzberg Ost;Südliche Luisenstadt;Reichenberger Straße Ost
2300419;Friedrichshain-Kreuzberg;Kreuzberg Ost;Südliche Luisenstadt;Wrangelkiez
2400520;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Nord;Barnimkiez
2400521;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Nord;Friedenstraße
2400522;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Nord;Richard-Sorge-Viertel
2400623;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Süd;Andreasviertel
2400624;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Süd;Weberwiese
2400625;Friedrichshain-Kreuzberg;Friedrichshain West;Karl-Marx-Allee Süd;Wriezener Bahnhof
2500726;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Nord;Hausburgviertel
2500727;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Nord;Forckenbeckplatz
2500728;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Nord;Samariterviertel
2500729;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Nord;Pettenkofer Straße
2500830;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Niederbarnimstraße
2500831;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Wismarplatz
2500832;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Traveplatz
2500833;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Boxhagener Platz
2500834;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Revaler Straße
2500835;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Stralauer Kiez
2500836;Friedrichshain-Kreuzberg;Friedrichshain Ost;Frankfurter Allee Süd FK;Stralauer Halbinsel
3100101;Pankow;Buch;Buch;Bucher Forst
3100102;Pankow;Buch;Buch;Klinikum Buch
3100103;Pankow;Buch;Buch;Karower Chaussee
3200204;Pankow;Nördliches Pankow;Blankenfelde/Niederschönhausen;Blankenfelde
3200205;Pankow;Nördliches Pankow;Blankenfelde/Niederschönhausen;Uhlandstraße
3200206;Pankow;Nördliches Pankow;Blankenfelde/Niederschönhausen;Pastor-Niemöller-Platz
3200207;Pankow;Nördliches Pankow;Blankenfelde/Niederschönhausen;Herthaplatz
3200308;Pankow;Nördliches Pankow;Buchholz;Nisbléstraße
3200309;Pankow;Nördliches Pankow;Buchholz;Eddastraße
3200310;Pankow;Nördliches Pankow;Buchholz;Krugpfuhl
3300411;Pankow;Nördliches Weißensee;Karow;Karow Nord
3300412;Pankow;Nördliches Weißensee;Karow;Karow Bahnhof
3300413;Pankow;Nördliches Weißensee;Karow;Karow Ost
3300514;Pankow;Nördliches Weißensee;Blankenburg/Heinersdorf/Märchenland;Blankenburg
3300515;Pankow;Nördliches Weißensee;Blankenburg/Heinersdorf/Märchenland;Blankenburger Süden
3300516;Pankow;Nördliches Weißensee;Blankenburg/Heinersdorf/Märchenland;Heinersdorf
3300517;Pankow;Nördliches Weißensee;Blankenburg/Heinersdorf/Märchenland;Märchenland
3400618;Pankow;Südliches Pankow;Schönholz/Wilhelmsruh/Rosenthal;Rosenthal
3400619;Pankow;Südliches Pankow;Schönholz/Wilhelmsruh/Rosenthal;Wilhelmsruh
3400620;Pankow;Südliches Pankow;Schönholz/Wilhelmsruh/Rosenthal;Schönholz
3400721;Pankow;Südliches Pankow;Pankow Zentrum;Florakiez
3400722;Pankow;Südliches Pankow;Pankow Zentrum;Parkstraße
3400723;Pankow;Südliches Pankow;Pankow Zentrum;Garbátyplatz
