gml_id,spatial_name,spatial_alias,spatial_type,OTEIL,BEZIRK,FLAECHE_HA
re_ortsteil.0101,0101,Mitte,Polygon,Mitte,Mitte,1063.8748
re_ortsteil.0102,0102,Moabit,Polygon,Moabit,Mitte,768.7909
re_ortsteil.0103,0103,Hansaviertel,Polygon,Hansaviertel,Mitte,52.5337
re_ortsteil.0104,0104,Tiergarten,Polygon,Tiergarten,Mitte,516.0672
re_ortsteil.0105,0105,Wedding,Polygon,Wedding,Mitte,919.9112
re_ortsteil.0106,0106,Gesundbrunnen,Polygon,Gesundbrunnen,Mitte,610.8368
re_ortsteil.0201,0201,Friedrichshain,Polygon,Friedrichshain,Friedrichshain-Kreuzberg,991.2352
re_ortsteil.0202,0202,Kreuzberg,Polygon,Kreuzberg,Friedrichshain-Kreuzberg,1033.9178
re_ortsteil.0301,0301,Prenzlauer Berg,Polygon,Prenzlauer Berg,Pankow,1096.9869
re_ortsteil.0302,0302,Weißensee,Polygon,Weißensee,Pankow,790.4559
re_ortsteil.0303,0303,Blankenburg,Polygon,Blankenburg,Pankow,604.1543
re_ortsteil.0304,0304,Heinersdorf,Polygon,Heinersdorf,Pankow,384.4614
re_ortsteil.0305,0305,Karow,Polygon,Karow,Pankow,660.7355
re_ortsteil.0306,0306,Stadtrandsiedlung Malchow,Polygon,Stadtrandsiedlung Malchow,Pankow,566.1107
re_ortsteil.0307,0307,Pankow,Polygon,Pankow,Pankow,563.3916
re_ortsteil.0308,0308,Blankenfelde,Polygon,Blankenfelde,Pankow,1326.5795
re_ortsteil.0309,0309,Buch,Polygon,Buch,Pankow,1809.1939
re_ortsteil.0310,0310,Französisch,Polygon,Französisch Buchholz,Pankow,1198.9231
re_ortsteil.0311,0311,Niederschönhausen,Polygon,Niederschönhausen,Pankow,646.5524
re_ortsteil.0312,0312,Rosenthal,Polygon,Rosenthal,Pankow,488.4617
re_ortsteil.0313,0313,Wilhelmsruh,Polygon,Wilhelmsruh,Pankow,135.7282
re_ortsteil.0401,0401,Charlottenburg,Polygon,Charlottenburg,Charlottenburg-Wilmersdorf,1042.1161
re_ortsteil.0402,0402,Wilmersdorf,Polygon,Wilmersdorf,Charlottenburg-Wilmersdorf,713.3992
re_ortsteil.0403,0403,Schmargendorf,Polygon,Schmargendorf,Charlottenburg-Wilmersdorf,357.5741
re_ortsteil.0404,0404,Grunewald,Polygon,Grunewald,Charlottenburg-Wilmersdorf,2244.1743
re_ortsteil.0405,0405,Westend,Polygon,Westend,Charlottenburg-Wilmersdorf,1361.3629
re_ortsteil.0406,0406,Charlottenburg-Nord,Polygon,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,617.6083
re_ortsteil.0407,0407,Halensee,Polygon,Halensee,Charlottenburg-Wilmersdorf,109.0465
re_ortsteil.0501,0501,Spandau,Polygon,Spandau,Spandau,799.1057
re_ortsteil.0502,0502,Haselhorst,Polygon,Haselhorst,Spandau,470.8564
